title,url,created_ts,bytes,views_total,effective_start,days_effective,external_links,ga_date,ga_topic_keyword,category
Dulles_International_Airport_Main_Terminal,https://en.wikipedia.org/wiki/Dulles_International_Airport_Main_Terminal,20251011183043,143946,30736,2025-10-11,52,325,2025-11-25,Art and architecture,Art and architecture
Sima_de_los_Huesos_hominins,https://en.wikipedia.org/wiki/Sima_de_los_Huesos_hominins,20250501152851,93565,13388,2025-05-01,215,184,2025-06-14,Natural sciences,Natural sciences
Champions_of_the_Future,https://en.wikipedia.org/wiki/Champions_of_the_Future,20250705194138,89142,3764,2025-07-05,150,172,2025-08-08,Sports and recreation,Sports and recreation
The_Rector_of_Justin,https://en.wikipedia.org/wiki/The_Rector_of_Justin,20250423002335,90982,4702,2025-04-23,223,133,2025-09-17,Language and literature,Language and literature
Fall_River/New_Bedford_Line,https://en.wikipedia.org/wiki/Fall_River/New_Bedford_Line,20250303074828,78519,18239,2025-03-03,274,150,2025-10-16,Engineering and technology,Engineering and technology
2025_Somerset–London_tornado,https://en.wikipedia.org/wiki/2025_Somerset–London_tornado,20250531145410,84719,68928,2025-05-31,185,112,2025-07-12,Natural sciences,Natural sciences
The_Hand_That_Signed_the_Paper,https://en.wikipedia.org/wiki/The_Hand_That_Signed_the_Paper,20250406063417,76276,13273,2025-04-06,240,136,2025-07-14,Language and literature,Language and literature
Robert_Jacomb-Hood,https://en.wikipedia.org/wiki/Robert_Jacomb-Hood,20250527174707,79062,6869,2025-05-27,189,118,2025-06-22,Engineering,Engineering and technology
2025_Pennsylvania_Supreme_Court_election,https://en.wikipedia.org/wiki/2025_Pennsylvania_Supreme_Court_election,20251006040750,83797,17211,2025-10-06,57,87,2025-11-27,Politics and government,Social sciences and society
USCGC_Dione,https://en.wikipedia.org/wiki/USCGC_Dione,20250521213851,79020,8417,2025-05-21,195,96,2025-09-23,war,Warfare
Voiceverse_NFT_plagiarism_scandal,https://en.wikipedia.org/wiki/Voiceverse_NFT_plagiarism_scandal,20251004204044,69551,3573,2025-10-04,59,125,2025-10-20,Engineering and technology,Engineering and technology
Closures_of_the_University_of_Wisconsin_branch_campuses,https://en.wikipedia.org/wiki/Closures_of_the_University_of_Wisconsin_branch_campuses,20250304180002,58494,24322,2025-03-04,273,170,2025-04-14,Social sciences and society,Social sciences and society
A_New_Old_Play,https://en.wikipedia.org/wiki/A_New_Old_Play,20250410162810,68429,10202,2025-04-10,236,74,2025-10-27,Media and drama,Media and drama
Everyone_Hates_Elon,https://en.wikipedia.org/wiki/Everyone_Hates_Elon,20250425163143,56912,25216,2025-04-25,221,134,2025-05-24,Social sciences and society,Social sciences and society
